annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
BOB,FRA,8B-BOB,TRAMMEL,SBCIIIART5,U10M,2015,52530
BOB,FRA,8B-BOB,TRAMMEL,SBCIIIART5,O15M,2015,991511.54
BOB,FRA,8B-BOB,TRAMMEL,SBCIIIART5,O10T15M,2015,949140.38
BOB,FRA,8B-BOB,TRAMMEL,NONE,U10M,2015,98423.64
BOB,FRA,8B-BOB,TRAMMEL,NONE,O15M,2015,132937.31
BOB,ESP,8B-BOB,TRAMMEL,NONE,O15M,2015,1006.95
BOB,FRA,8B-BOB,TRAMMEL,NONE,O10T15M,2015,24596.87
BOB,ESP,8B-BOB,TRAMMEL,NONE,O10T15M,2015,80.85
BOB,ESP,8B-BOB,TRAMMEL,NONE,NONE,2015,1235.51
BOB,FRA,8B-BOB,POTS,SBCIIIART5,O15M,2015,8107.16
BOB,FRA,8B-BOB,POTS,SBCIIIART5,O10T15M,2015,48897.05
BOB,FRA,8B-BOB,POTS,NONE,U10M,2015,66865.3
BOB,FRA,8B-BOB,POTS,NONE,O10T15M,2015,6555.21
BOB,ESP,8B-BOB,POTS,NONE,O10T15M,2015,470.4
BOB,FRA,8B-BOB,PEL_TRAWL,SBCIIIART5,O15M,2015,26512.12
BOB,FRA,8B-BOB,PEL_TRAWL,SBCIIIART5,O10T15M,2015,52626.46
BOB,NLD,8B-BOB,PEL_TRAWL,NONE,O15M,2015,31450
BOB,FRA,8B-BOB,PEL_TRAWL,NONE,O15M,2015,383112.64
BOB,ENG,8B-BOB,PEL_TRAWL,NONE,O15M,2015,318633.78
BOB,DEU,8B-BOB,PEL_TRAWL,NONE,O15M,2015,46703
BOB,FRA,8B-BOB,PEL_TRAWL,NONE,O10T15M,2015,2326.3
BOB,FRA,8B-BOB,PEL_SEINE,SBCIIIART5,O15M,2015,278.7
BOB,FRA,8B-BOB,PEL_SEINE,SBCIIIART5,O10T15M,2015,2407.17
BOB,FRA,8B-BOB,PEL_SEINE,NONE,O15M,2015,55133.96
BOB,ESP,8B-BOB,PEL_SEINE,NONE,O15M,2015,2212358.2
BOB,FRA,8B-BOB,PEL_SEINE,NONE,O10T15M,2015,18922.65
BOB,FRA,8B-BOB,OTTER,SBCIIIART5,O15M,2015,1284450.65
BOB,BEL,8B-BOB,OTTER,SBCIIIART5,O15M,2015,1200
BOB,FRA,8B-BOB,OTTER,SBCIIIART5,O10T15M,2015,772732.64
BOB,FRA,8B-BOB,OTTER,NONE,U10M,2015,3024.21
BOB,PRT,8B-BOB,OTTER,NONE,O15M,2015,1104
BOB,FRA,8B-BOB,OTTER,NONE,O15M,2015,429045.64
BOB,ESP,8B-BOB,OTTER,NONE,O15M,2015,1442627.13
BOB,FRA,8B-BOB,OTTER,NONE,O10T15M,2015,228307.78
BOB,FRA,8B-BOB,LONGLINE,SBCIIIART5,U10M,2015,21140.34
BOB,FRA,8B-BOB,LONGLINE,SBCIIIART5,O15M,2015,33414.45
BOB,FRA,8B-BOB,LONGLINE,SBCIIIART5,O10T15M,2015,262311.16
BOB,FRA,8B-BOB,LONGLINE,NONE,U10M,2015,207358.59
BOB,FRA,8B-BOB,LONGLINE,NONE,O15M,2015,223749.34
BOB,ESP,8B-BOB,LONGLINE,NONE,O15M,2015,233058.37
BOB,FRA,8B-BOB,LONGLINE,NONE,O10T15M,2015,241162.21
BOB,ESP,8B-BOB,LONGLINE,NONE,O10T15M,2015,21559.76
BOB,ESP,8B-BOB,LONGLINE,NONE,NONE,2015,1368.57
BOB,FRA,8B-BOB,GILL,SBCIIIART5,U10M,2015,64086
BOB,FRA,8B-BOB,GILL,SBCIIIART5,O15M,2015,253998.07
BOB,FRA,8B-BOB,GILL,SBCIIIART5,O10T15M,2015,305129.55
BOB,FRA,8B-BOB,GILL,NONE,U10M,2015,357338.02
BOB,SCO,8B-BOB,GILL,NONE,O15M,2015,15502.1
BOB,FRA,8B-BOB,GILL,NONE,O15M,2015,198213.14
BOB,ESP,8B-BOB,GILL,NONE,O15M,2015,101629.93
BOB,ENG,8B-BOB,GILL,NONE,O15M,2015,825.71
BOB,FRA,8B-BOB,GILL,NONE,O10T15M,2015,63725.57
BOB,ESP,8B-BOB,GILL,NONE,O10T15M,2015,1165.71
BOB,ESP,8B-BOB,GILL,NONE,NONE,2015,8504.73
BOB,FRA,8B-BOB,DREDGE,SBCIIIART5,O10T15M,2015,10.08
BOB,FRA,8B-BOB,DREDGE,NONE,U10M,2015,1064
BOB,FRA,8B-BOB,DREDGE,NONE,O10T15M,2015,3877.07
BOB,FRA,8B-BOB,DEM_SEINE,SBCIIIART5,O15M,2015,192854.88
BOB,FRA,8B-BOB,DEM_SEINE,NONE,O15M,2015,5769.1
BOB,BEL,8B-BOB,BEAM,SBCIIIART5,O15M,2015,443824
BOB,FRA,8B-BOB,BEAM,SBCIIIART5,O10T15M,2015,73.5
BOB,FRA,8A-BOB,TRAMMEL,SBCIIIART5,U10M,2015,69447.56
BOB,FRA,8A-BOB,TRAMMEL,SBCIIIART5,O15M,2015,920889.97
BOB,FRA,8A-BOB,TRAMMEL,SBCIIIART5,O10T15M,2015,964683.75
BOB,FRA,8A-BOB,TRAMMEL,NONE,U10M,2015,485628.24
BOB,FRA,8A-BOB,TRAMMEL,NONE,O15M,2015,24966.58
BOB,ENG,8A-BOB,TRAMMEL,NONE,O15M,2015,1048.66
BOB,FRA,8A-BOB,TRAMMEL,NONE,O10T15M,2015,170170.6
BOB,FRA,8A-BOB,POTS,SBCIIIART5,U10M,2015,7032.07
BOB,FRA,8A-BOB,POTS,SBCIIIART5,O15M,2015,15546.17
BOB,FRA,8A-BOB,POTS,SBCIIIART5,O10T15M,2015,107185.15
BOB,FRA,8A-BOB,POTS,NONE,U10M,2015,611317.37
BOB,FRA,8A-BOB,POTS,NONE,O15M,2015,275720.38
BOB,DEU,8A-BOB,POTS,NONE,O15M,2015,3092
BOB,FRA,8A-BOB,POTS,NONE,O10T15M,2015,170902.42
BOB,FRA,8A-BOB,PEL_TRAWL,SBCIIIART5,O15M,2015,301427.45
BOB,FRA,8A-BOB,PEL_TRAWL,SBCIIIART5,O10T15M,2015,123429.99
BOB,FRA,8A-BOB,PEL_TRAWL,NONE,U10M,2015,174
BOB,NLD,8A-BOB,PEL_TRAWL,NONE,O15M,2015,143204
BOB,IRL,8A-BOB,PEL_TRAWL,NONE,O15M,2015,25523
BOB,FRA,8A-BOB,PEL_TRAWL,NONE,O15M,2015,1418339.62
BOB,ENG,8A-BOB,PEL_TRAWL,NONE,O15M,2015,29097.75
BOB,DEU,8A-BOB,PEL_TRAWL,NONE,O15M,2015,57037
BOB,FRA,8A-BOB,PEL_TRAWL,NONE,O10T15M,2015,134291.19
BOB,FRA,8A-BOB,PEL_SEINE,SBCIIIART5,O15M,2015,26.97
BOB,FRA,8A-BOB,PEL_SEINE,NONE,O15M,2015,613655.41
BOB,ESP,8A-BOB,PEL_SEINE,NONE,O15M,2015,14754.4
BOB,FRA,8A-BOB,PEL_SEINE,NONE,O10T15M,2015,94761.75
BOB,FRA,8A-BOB,OTTER,SBCIIIART5,U10M,2015,73199.49
BOB,FRA,8A-BOB,OTTER,SBCIIIART5,O15M,2015,3597363.39
BOB,BEL,8A-BOB,OTTER,SBCIIIART5,O15M,2015,3600
BOB,FRA,8A-BOB,OTTER,SBCIIIART5,O10T15M,2015,1985766.15
BOB,FRA,8A-BOB,OTTER,NONE,U10M,2015,390481.82
BOB,SCO,8A-BOB,OTTER,NONE,O15M,2015,237.75
BOB,FRA,8A-BOB,OTTER,NONE,O15M,2015,2586376.41
BOB,ESP,8A-BOB,OTTER,NONE,O15M,2015,727798.47
BOB,FRA,8A-BOB,OTTER,NONE,O10T15M,2015,1822205.62
BOB,FRA,8A-BOB,LONGLINE,SBCIIIART5,U10M,2015,88455.85
BOB,FRA,8A-BOB,LONGLINE,SBCIIIART5,O15M,2015,46140.36
BOB,FRA,8A-BOB,LONGLINE,SBCIIIART5,O10T15M,2015,143281.3
BOB,FRA,8A-BOB,LONGLINE,NONE,U10M,2015,1130575.34
BOB,FRA,8A-BOB,LONGLINE,NONE,O15M,2015,348245.36
BOB,ESP,8A-BOB,LONGLINE,NONE,O15M,2015,994036.97
BOB,FRA,8A-BOB,LONGLINE,NONE,O10T15M,2015,437388.18
BOB,FRA,8A-BOB,GILL,SBCIIIART5,U10M,2015,4055
BOB,FRA,8A-BOB,GILL,SBCIIIART5,O15M,2015,590124.6
BOB,FRA,8A-BOB,GILL,SBCIIIART5,O10T15M,2015,318471.48
BOB,FRA,8A-BOB,GILL,NONE,U10M,2015,563809.74
BOB,SCO,8A-BOB,GILL,NONE,O15M,2015,16437.4
BOB,FRA,8A-BOB,GILL,NONE,O15M,2015,884509.27
BOB,ESP,8A-BOB,GILL,NONE,O15M,2015,225739.82
BOB,ENG,8A-BOB,GILL,NONE,O15M,2015,35313.24
BOB,FRA,8A-BOB,GILL,NONE,O10T15M,2015,125632.36
BOB,FRA,8A-BOB,DREDGE,SBCIIIART5,U10M,2015,11084
