country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
FRA,discards,8A-BOB,LONGLINE,YEL,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,TRAMMEL,WRF,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,OTTER,WRF,NONE,O15M,2015,
FRA,discards,8B-BOB,OTTER,WRF,NONE,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,WRF,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,LONGLINE,WRF,NONE,U10M,2015,
FRA,discards,8B-BOB,LONGLINE,WRF,NONE,O15M,2015,
ESP,discards,8B-BOB,LONGLINE,WRF,NONE,O15M,2015,
FRA,discards,8B-BOB,LONGLINE,WRF,NONE,O10T15M,2015,
ESP,discards,8B-BOB,LONGLINE,WRF,NONE,O10T15M,2015,
FRA,discards,8B-BOB,GILL,WRF,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,GILL,WRF,NONE,U10M,2015,
ESP,discards,8B-BOB,GILL,WRF,NONE,O15M,2015,
FRA,discards,8B-BOB,GILL,WRF,NONE,O10T15M,2015,
FRA,discards,8A-BOB,TRAMMEL,WRF,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,TRAMMEL,WRF,NONE,O15M,2015,
ENG,discards,8A-BOB,TRAMMEL,WRF,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,WRF,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,WRF,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,WRF,NONE,O15M,2015,
FRA,discards,8A-BOB,OTTER,WRF,NONE,O10T15M,2015,
FRA,discards,8A-BOB,LONGLINE,WRF,NONE,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,WRF,NONE,O15M,2015,
ESP,discards,8A-BOB,LONGLINE,WRF,NONE,O15M,2015,
ESP,discards,8A-BOB,GILL,WRF,NONE,O15M,2015,
ENG,discards,8A-BOB,GILL,WRF,NONE,O15M,2015,
FRA,discards,8B-BOB,DEM_SEINE,WIT,SBCIIIART5,O15M,2015,
BEL,discards,8B-BOB,BEAM,WIT,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,WIT,SBCIIIART5,O15M,2015,
FRA,discards,8A-BOB,OTTER,WIT,SBCIIIART5,O10T15M,2015,
FRA,discards,8A-BOB,OTTER,WIT,NONE,U10M,2015,0
FRA,discards,8A-BOB,OTTER,WIT,NONE,O15M,2015,0
FRA,discards,8A-BOB,OTTER,WIT,NONE,O10T15M,2015,0
FRA,discards,8A-BOB,LONGLINE,WIT,NONE,U10M,2015,
FRA,discards,8A-BOB,LONGLINE,WIT,NONE,O10T15M,2015,
FRA,discards,8A-BOB,DEM_SEINE,WIT,NONE,O15M,2015,
BEL,discards,8A-BOB,BEAM,WIT,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,TRAMMEL,WHG,SBCIIIART5,U10M,2015,0.978017
FRA,discards,8B-BOB,TRAMMEL,WHG,SBCIIIART5,O15M,2015,129.149531
FRA,discards,8B-BOB,TRAMMEL,WHG,SBCIIIART5,O10T15M,2015,154.196814
FRA,discards,8B-BOB,TRAMMEL,WHG,NONE,U10M,2015,0.094092
FRA,discards,8B-BOB,TRAMMEL,WHG,NONE,O15M,2015,10.051866
FRA,discards,8B-BOB,TRAMMEL,WHG,NONE,O10T15M,2015,0.766891
FRA,discards,8B-BOB,POTS,WHG,SBCIIIART5,O15M,2015,
FRA,discards,8B-BOB,POTS,WHG,SBCIIIART5,O10T15M,2015,
FRA,discards,8B-BOB,POTS,WHG,NONE,U10M,2015,
