annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
BOB,FRA,8B-BOB,TRAMMEL,SBCIIIART5,U10M,2015,6
BOB,FRA,8B-BOB,TRAMMEL,SBCIIIART5,O15M,2015,26
BOB,FRA,8B-BOB,TRAMMEL,SBCIIIART5,O10T15M,2015,39
BOB,FRA,8B-BOB,TRAMMEL,NONE,U10M,2015,16
BOB,FRA,8B-BOB,TRAMMEL,NONE,O15M,2015,2
BOB,ESP,8B-BOB,TRAMMEL,NONE,O15M,2015,1
BOB,FRA,8B-BOB,TRAMMEL,NONE,O10T15M,2015,6
BOB,ESP,8B-BOB,TRAMMEL,NONE,O10T15M,2015,1
BOB,ESP,8B-BOB,TRAMMEL,NONE,NONE,2015,1
BOB,FRA,8B-BOB,POTS,SBCIIIART5,O15M,2015,1
BOB,FRA,8B-BOB,POTS,SBCIIIART5,O10T15M,2015,10
BOB,FRA,8B-BOB,POTS,NONE,U10M,2015,14
BOB,FRA,8B-BOB,POTS,NONE,O10T15M,2015,2
BOB,ESP,8B-BOB,POTS,NONE,O10T15M,2015,1
BOB,FRA,8B-BOB,PEL_TRAWL,SBCIIIART5,O15M,2015,4
BOB,FRA,8B-BOB,PEL_TRAWL,SBCIIIART5,O10T15M,2015,4
BOB,NLD,8B-BOB,PEL_TRAWL,NONE,O15M,2015,2
BOB,FRA,8B-BOB,PEL_TRAWL,NONE,O15M,2015,22
BOB,ENG,8B-BOB,PEL_TRAWL,NONE,O15M,2015,2
BOB,DEU,8B-BOB,PEL_TRAWL,NONE,O15M,2015,2
BOB,FRA,8B-BOB,PEL_TRAWL,NONE,O10T15M,2015,1
BOB,FRA,8B-BOB,PEL_SEINE,SBCIIIART5,O15M,2015,1
BOB,FRA,8B-BOB,PEL_SEINE,SBCIIIART5,O10T15M,2015,1
BOB,FRA,8B-BOB,PEL_SEINE,NONE,O15M,2015,3
BOB,ESP,8B-BOB,PEL_SEINE,NONE,O15M,2015,119
BOB,FRA,8B-BOB,PEL_SEINE,NONE,O10T15M,2015,2
BOB,FRA,8B-BOB,OTTER,SBCIIIART5,O15M,2015,27
BOB,BEL,8B-BOB,OTTER,SBCIIIART5,O15M,2015,1
BOB,FRA,8B-BOB,OTTER,SBCIIIART5,O10T15M,2015,24
BOB,FRA,8B-BOB,OTTER,NONE,U10M,2015,1
BOB,PRT,8B-BOB,OTTER,NONE,O15M,2015,2
BOB,FRA,8B-BOB,OTTER,NONE,O15M,2015,8
BOB,ESP,8B-BOB,OTTER,NONE,O15M,2015,11
BOB,FRA,8B-BOB,OTTER,NONE,O10T15M,2015,22
BOB,FRA,8B-BOB,LONGLINE,SBCIIIART5,U10M,2015,4
BOB,FRA,8B-BOB,LONGLINE,SBCIIIART5,O15M,2015,2
BOB,FRA,8B-BOB,LONGLINE,SBCIIIART5,O10T15M,2015,15
BOB,FRA,8B-BOB,LONGLINE,NONE,U10M,2015,35
BOB,FRA,8B-BOB,LONGLINE,NONE,O15M,2015,5
BOB,ESP,8B-BOB,LONGLINE,NONE,O15M,2015,11
BOB,FRA,8B-BOB,LONGLINE,NONE,O10T15M,2015,16
BOB,ESP,8B-BOB,LONGLINE,NONE,O10T15M,2015,7
BOB,ESP,8B-BOB,LONGLINE,NONE,NONE,2015,1
BOB,FRA,8B-BOB,GILL,SBCIIIART5,U10M,2015,3
BOB,FRA,8B-BOB,GILL,SBCIIIART5,O15M,2015,11
BOB,FRA,8B-BOB,GILL,SBCIIIART5,O10T15M,2015,19
BOB,FRA,8B-BOB,GILL,NONE,U10M,2015,16
BOB,SCO,8B-BOB,GILL,NONE,O15M,2015,1
BOB,FRA,8B-BOB,GILL,NONE,O15M,2015,15
BOB,ESP,8B-BOB,GILL,NONE,O15M,2015,9
BOB,ENG,8B-BOB,GILL,NONE,O15M,2015,1
BOB,FRA,8B-BOB,GILL,NONE,O10T15M,2015,3
BOB,ESP,8B-BOB,GILL,NONE,O10T15M,2015,2
BOB,ESP,8B-BOB,GILL,NONE,NONE,2015,1
BOB,FRA,8B-BOB,DREDGE,SBCIIIART5,O10T15M,2015,1
BOB,FRA,8B-BOB,DREDGE,NONE,U10M,2015,2
BOB,FRA,8B-BOB,DREDGE,NONE,O10T15M,2015,9
BOB,FRA,8B-BOB,DEM_SEINE,SBCIIIART5,O15M,2015,8
BOB,FRA,8B-BOB,DEM_SEINE,NONE,O15M,2015,1
BOB,BEL,8B-BOB,BEAM,SBCIIIART5,O15M,2015,9
BOB,FRA,8B-BOB,BEAM,SBCIIIART5,O10T15M,2015,1
BOB,FRA,8A-BOB,TRAMMEL,SBCIIIART5,U10M,2015,5
BOB,FRA,8A-BOB,TRAMMEL,SBCIIIART5,O15M,2015,27
BOB,FRA,8A-BOB,TRAMMEL,SBCIIIART5,O10T15M,2015,44
BOB,FRA,8A-BOB,TRAMMEL,NONE,U10M,2015,54
BOB,FRA,8A-BOB,TRAMMEL,NONE,O15M,2015,1
BOB,ENG,8A-BOB,TRAMMEL,NONE,O15M,2015,1
BOB,FRA,8A-BOB,TRAMMEL,NONE,O10T15M,2015,9
BOB,FRA,8A-BOB,POTS,SBCIIIART5,U10M,2015,3
BOB,FRA,8A-BOB,POTS,SBCIIIART5,O15M,2015,1
BOB,FRA,8A-BOB,POTS,SBCIIIART5,O10T15M,2015,10
BOB,FRA,8A-BOB,POTS,NONE,U10M,2015,113
BOB,FRA,8A-BOB,POTS,NONE,O15M,2015,7
BOB,DEU,8A-BOB,POTS,NONE,O15M,2015,1
BOB,FRA,8A-BOB,POTS,NONE,O10T15M,2015,15
BOB,FRA,8A-BOB,PEL_TRAWL,SBCIIIART5,O15M,2015,6
BOB,FRA,8A-BOB,PEL_TRAWL,SBCIIIART5,O10T15M,2015,9
BOB,FRA,8A-BOB,PEL_TRAWL,NONE,U10M,2015,1
BOB,NLD,8A-BOB,PEL_TRAWL,NONE,O15M,2015,3
BOB,IRL,8A-BOB,PEL_TRAWL,NONE,O15M,2015,3
BOB,FRA,8A-BOB,PEL_TRAWL,NONE,O15M,2015,27
BOB,ENG,8A-BOB,PEL_TRAWL,NONE,O15M,2015,2
BOB,DEU,8A-BOB,PEL_TRAWL,NONE,O15M,2015,3
BOB,FRA,8A-BOB,PEL_TRAWL,NONE,O10T15M,2015,3
BOB,FRA,8A-BOB,PEL_SEINE,SBCIIIART5,O15M,2015,1
