annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
CEL1,FRA,7BCEFGHJK,TR3,NONE,U10M,2015,1
CEL1,FRA,7BCEFGHJK,TR3,NONE,O15M,2015,1
CEL1,FRA,7BCEFGHJK,TR3,NONE,O10T15M,2015,7
CEL1,ENG,7BCEFGHJK,TR3,NONE,O10T15M,2015,2
CEL1,SCO,7BCEFGHJK,TR2,NONE,U10M,2015,1
CEL1,NIR,7BCEFGHJK,TR2,NONE,U10M,2015,1
CEL1,FRA,7BCEFGHJK,TR2,NONE,U10M,2015,8
CEL1,ENG,7BCEFGHJK,TR2,NONE,U10M,2015,62
CEL1,SCO,7BCEFGHJK,TR2,NONE,O15M,2015,2
CEL1,NLD,7BCEFGHJK,TR2,NONE,O15M,2015,8
CEL1,NIR,7BCEFGHJK,TR2,NONE,O15M,2015,6
CEL1,IRL,7BCEFGHJK,TR2,NONE,O15M,2015,37
CEL1,GBJ,7BCEFGHJK,TR2,NONE,O15M,2015,1
CEL1,FRA,7BCEFGHJK,TR2,NONE,O15M,2015,62
CEL1,ENG,7BCEFGHJK,TR2,NONE,O15M,2015,6
CEL1,BEL,7BCEFGHJK,TR2,NONE,O15M,2015,4
CEL1,IRL,7BCEFGHJK,TR2,NONE,O10T15M,2015,17
CEL1,GBG,7BCEFGHJK,TR2,NONE,O10T15M,2015,1
CEL1,FRA,7BCEFGHJK,TR2,NONE,O10T15M,2015,68
CEL1,ENG,7BCEFGHJK,TR2,NONE,O10T15M,2015,55
CEL1,NIR,7BCEFGHJK,TR1,NONE,U10M,2015,1
CEL1,ENG,7BCEFGHJK,TR1,NONE,U10M,2015,23
CEL1,SCO,7BCEFGHJK,TR1,NONE,O15M,2015,8
CEL1,NIR,7BCEFGHJK,TR1,NONE,O15M,2015,1
CEL1,IRL,7BCEFGHJK,TR1,NONE,O15M,2015,73
CEL1,FRA,7BCEFGHJK,TR1,NONE,O15M,2015,46
CEL1,ESP,7BCEFGHJK,TR1,NONE,O15M,2015,19
CEL1,ENG,7BCEFGHJK,TR1,NONE,O15M,2015,9
CEL1,IRL,7BCEFGHJK,TR1,NONE,O10T15M,2015,5
CEL1,FRA,7BCEFGHJK,TR1,NONE,O10T15M,2015,2
CEL1,ENG,7BCEFGHJK,TR1,NONE,O10T15M,2015,18
CEL1,SCO,7BCEFGHJK,POTS,NONE,U10M,2015,1
CEL1,NIR,7BCEFGHJK,POTS,NONE,U10M,2015,1
CEL1,GBJ,7BCEFGHJK,POTS,NONE,U10M,2015,2
CEL1,GBG,7BCEFGHJK,POTS,NONE,U10M,2015,1
CEL1,FRA,7BCEFGHJK,POTS,NONE,U10M,2015,150
CEL1,ENG,7BCEFGHJK,POTS,NONE,U10M,2015,216
CEL1,IRL,7BCEFGHJK,POTS,NONE,O15M,2015,1
CEL1,IOM,7BCEFGHJK,POTS,NONE,O15M,2015,1
CEL1,GBG,7BCEFGHJK,POTS,NONE,O15M,2015,1
CEL1,FRA,7BCEFGHJK,POTS,NONE,O15M,2015,12
CEL1,ENG,7BCEFGHJK,POTS,NONE,O15M,2015,6
CEL1,DEU,7BCEFGHJK,POTS,NONE,O15M,2015,1
CEL1,SCO,7BCEFGHJK,POTS,NONE,O10T15M,2015,1
CEL1,NIR,7BCEFGHJK,POTS,NONE,O10T15M,2015,1
