annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
IIA,SCO,3D,TR3,NONE,O15M,2015,2637
IIA,SCO,3D,TR2,NONE,U10M,2015,427513.88
IIA,NIR,3D,TR2,NONE,U10M,2015,1184.5
IIA,ENG,3D,TR2,NONE,U10M,2015,10417.9
IIA,NIR,3D,TR2,NONE,O15M,2015,554516.58
IIA,IRL,3D,TR2,NONE,O15M,2015,12107
IIA,ENG,3D,TR2,NONE,O15M,2015,33362.67
IIA,NIR,3D,TR2,NONE,O10T15M,2015,34011.33
IIA,IRL,3D,TR2,NONE,O10T15M,2015,427
IIA,ENG,3D,TR2,NONE,O10T15M,2015,27443.85
IIA,SCO,3D,TR2,CPART13C,O15M,2015,1433040.76
IIA,SCO,3D,TR2,CPART13C,O10T15M,2015,221050.6
IIA,SCO,3D,TR2,CPART11,O15M,2015,1165530.52
IIA,SCO,3D,TR2,CPART11,O10T15M,2015,663064.65
IIA,SCO,3D,TR1,NONE,U10M,2015,3245.1
IIA,NIR,3D,TR1,NONE,O15M,2015,2961.73
IIA,IRL,3D,TR1,NONE,O15M,2015,131977
IIA,IOM,3D,TR1,NONE,O15M,2015,2984
IIA,FRA,3D,TR1,NONE,O15M,2015,22200
IIA,ESP,3D,TR1,NONE,O15M,2015,270394.74
IIA,ENG,3D,TR1,NONE,O15M,2015,69963.63
IIA,IRL,3D,TR1,NONE,O10T15M,2015,5966
IIA,SCO,3D,TR1,CPART13D,O15M,2015,1485858.17
IIA,IRL,3D,TR1,CPART13D,O15M,2015,32677
IIA,SCO,3D,TR1,CPART13C,O15M,2015,896604.29
IIA,SCO,3D,TR1,CPART13C,O10T15M,2015,2984.5
IIA,FRA,3D,TR1,CPART13B,O15M,2015,1727065.88
IIA,SCO,3D,TR1,CPART11,O15M,2015,191
IIA,IRL,3D,TR1,CPART11,O15M,2015,394456
IIA,FRA,3D,TR1,CPART11,O15M,2015,274760.46
IIA,SCO,3D,TR1,CPART11,O10T15M,2015,201
IIA,SCO,3D,POTS,NONE,U10M,2015,3869297.69
IIA,NIR,3D,POTS,NONE,U10M,2015,70574.34
IIA,ENG,3D,POTS,NONE,U10M,2015,44062.11
IIA,SCO,3D,POTS,NONE,O15M,2015,507040.15
IIA,NIR,3D,POTS,NONE,O15M,2015,1696
IIA,IRL,3D,POTS,NONE,O15M,2015,118544
IIA,ENG,3D,POTS,NONE,O15M,2015,52400.33
IIA,DEU,3D,POTS,NONE,O15M,2015,6959
IIA,SCO,3D,POTS,NONE,O10T15M,2015,1210698.04
IIA,NIR,3D,POTS,NONE,O10T15M,2015,238230.06
IIA,IRL,3D,POTS,NONE,O10T15M,2015,181909
IIA,LTU,3D,PEL_TRAWL,NONE,O40M,2015,54600
IIA,SCO,3D,PEL_TRAWL,NONE,O15M,2015,1698449.99
IIA,NLD,3D,PEL_TRAWL,NONE,O15M,2015,2171040
IIA,NIR,3D,PEL_TRAWL,NONE,O15M,2015,144225
IIA,IRL,3D,PEL_TRAWL,NONE,O15M,2015,1049629
IIA,FRA,3D,PEL_TRAWL,NONE,O15M,2015,318552.48
IIA,ENG,3D,PEL_TRAWL,NONE,O15M,2015,472007.09
IIA,DNK,3D,PEL_TRAWL,NONE,O15M,2015,278137.75
IIA,DEU,3D,PEL_TRAWL,NONE,O15M,2015,1119307
IIA,IRL,3D,PEL_TRAWL,NONE,O10T15M,2015,4764
IIA,SCO,3D,OTTER,NONE,U10M,2015,96
IIA,SCO,3D,OTTER,NONE,O15M,2015,233870.17
IIA,NIR,3D,OTTER,NONE,O15M,2015,16000
IIA,IRL,3D,OTTER,NONE,O15M,2015,1200
IIA,ENG,3D,OTTER,NONE,O15M,2015,41154.71
IIA,SCO,3D,OTTER,NONE,O10T15M,2015,403
IIA,IRL,3D,OTTER,NONE,O10T15M,2015,213
IIA,SCO,3D,NONE,NONE,U10M,2015,213229.44
IIA,SCO,3D,NONE,NONE,O15M,2015,5472
IIA,SCO,3D,NONE,NONE,O10T15M,2015,97665.5
IIA,SCO,3D,LL1,NONE,U10M,2015,3377.46
IIA,NIR,3D,LL1,NONE,U10M,2015,1753
IIA,SCO,3D,LL1,NONE,O15M,2015,343490.88
IIA,FRA,3D,LL1,NONE,O15M,2015,458663.59
IIA,ESP,3D,LL1,NONE,O15M,2015,637405.98
IIA,ENG,3D,LL1,NONE,O15M,2015,241720.51
IIA,IRL,3D,LL1,NONE,O10T15M,2015,1337
IIA,NIR,3D,GN1,NONE,U10M,2015,74.6
IIA,SCO,3D,GN1,NONE,O15M,2015,809.49
IIA,IRL,3D,GN1,NONE,O15M,2015,2167
IIA,FRA,3D,GN1,NONE,O15M,2015,41703.64
IIA,DEU,3D,GN1,NONE,O15M,2015,25834
IIA,SCO,3D,GN1,NONE,O10T15M,2015,3744
IIA,IRL,3D,GN1,NONE,O10T15M,2015,5299
IIA,SCO,3D,DREDGE,NONE,U10M,2015,54760.24
IIA,NIR,3D,DREDGE,NONE,U10M,2015,9725.9
IIA,SCO,3D,DREDGE,NONE,O15M,2015,869985.72
IIA,NIR,3D,DREDGE,NONE,O15M,2015,34390
IIA,IRL,3D,DREDGE,NONE,O15M,2015,1105
IIA,IOM,3D,DREDGE,NONE,O15M,2015,52026
IIA,ENG,3D,DREDGE,NONE,O15M,2015,23182
IIA,SCO,3D,DREDGE,NONE,O10T15M,2015,215078.02
IIA,NIR,3D,DREDGE,NONE,O10T15M,2015,48602.48
IIA,IOM,3D,DREDGE,NONE,O10T15M,2015,3188.72
IIA,ENG,3D,DREDGE,NONE,O10T15M,2015,2755
IIA,NIR,3C,TR3,NONE,O15M,2015,4050
IIA,IRL,3C,TR3,NONE,O10T15M,2015,442
IIA,SCO,3C,TR2,NONE,U10M,2015,238.72
IIA,BEL,3C,TR2,NONE,O15M,2015,12623
IIA,NIR,3C,TR2,CPART13C,U10M,2015,128921.23
IIA,IOM,3C,TR2,CPART13C,U10M,2015,13800.4
IIA,ENG,3C,TR2,CPART13C,U10M,2015,30318.26
IIA,SCO,3C,TR2,CPART13C,O15M,2015,81202.01
IIA,NIR,3C,TR2,CPART13C,O15M,2015,2324088.97
IIA,SCO,3C,TR2,CPART13C,O10T15M,2015,3672
IIA,NIR,3C,TR2,CPART13C,O10T15M,2015,259617.27
IIA,IOM,3C,TR2,CPART13C,O10T15M,2015,4125.79
IIA,ENG,3C,TR2,CPART13C,O10T15M,2015,92658.22
IIA,ENG,3C,TR2,CPART13B,O10T15M,2015,15296
IIA,IRL,3C,TR2,CPART13A,O15M,2015,777148
IIA,IRL,3C,TR2,CPART13A,O10T15M,2015,68151
IIA,SCO,3C,TR2,CPART11,O15M,2015,15851.5
IIA,IRL,3C,TR2,CPART11,O15M,2015,82414
IIA,IOM,3C,TR2,CPART11,O15M,2015,12733
IIA,SCO,3C,TR2,CPART11,O10T15M,2015,109.05
IIA,IRL,3C,TR2,CPART11,O10T15M,2015,4878
IIA,IOM,3C,TR2,CPART11,O10T15M,2015,47148.9
IIA,SCO,3C,TR1,NONE,U10M,2015,72.36
IIA,IRL,3C,TR1,NONE,O15M,2015,144314
IIA,FRA,3C,TR1,NONE,O15M,2015,443.12
IIA,IRL,3C,TR1,NONE,O10T15M,2015,3059
IIA,IOM,3C,TR1,CPART13C,U10M,2015,2920
IIA,ENG,3C,TR1,CPART13C,U10M,2015,4918.73
IIA,SCO,3C,TR1,CPART13C,O15M,2015,3452
IIA,NIR,3C,TR1,CPART13C,O15M,2015,117731.17
IIA,IOM,3C,TR1,CPART13C,O10T15M,2015,283.48
IIA,ENG,3C,TR1,CPART13C,O10T15M,2015,570
IIA,IOM,3C,TR1,CPART11,O15M,2015,2611
IIA,IOM,3C,TR1,CPART11,O10T15M,2015,2094.62
IIA,SCO,3C,POTS,NONE,U10M,2015,38763.4
IIA,NIR,3C,POTS,NONE,U10M,2015,374740.55
IIA,IOM,3C,POTS,NONE,U10M,2015,234662.04
IIA,ENG,3C,POTS,NONE,U10M,2015,170247.08
IIA,NIR,3C,POTS,NONE,O15M,2015,11271
IIA,IOM,3C,POTS,NONE,O15M,2015,31488
IIA,GBJ,3C,POTS,NONE,O15M,2015,97099
IIA,ENG,3C,POTS,NONE,O15M,2015,116635.01
