annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
IIA,SCO,3D,TR3,NONE,O15M,2015,2
IIA,SCO,3D,TR2,NONE,U10M,2015,34
IIA,NIR,3D,TR2,NONE,U10M,2015,3
IIA,ENG,3D,TR2,NONE,U10M,2015,2
IIA,NIR,3D,TR2,NONE,O15M,2015,46
IIA,IRL,3D,TR2,NONE,O15M,2015,4
IIA,ENG,3D,TR2,NONE,O15M,2015,3
IIA,NIR,3D,TR2,NONE,O10T15M,2015,4
IIA,IRL,3D,TR2,NONE,O10T15M,2015,1
IIA,ENG,3D,TR2,NONE,O10T15M,2015,4
IIA,SCO,3D,TR2,CPART13C,O15M,2015,46
IIA,SCO,3D,TR2,CPART13C,O10T15M,2015,13
IIA,SCO,3D,TR2,CPART11,O15M,2015,37
IIA,SCO,3D,TR2,CPART11,O10T15M,2015,34
IIA,SCO,3D,TR1,NONE,U10M,2015,1
IIA,NIR,3D,TR1,NONE,O15M,2015,1
IIA,IRL,3D,TR1,NONE,O15M,2015,10
IIA,IOM,3D,TR1,NONE,O15M,2015,1
IIA,FRA,3D,TR1,NONE,O15M,2015,1
IIA,ESP,3D,TR1,NONE,O15M,2015,3
IIA,ENG,3D,TR1,NONE,O15M,2015,4
IIA,IRL,3D,TR1,NONE,O10T15M,2015,4
IIA,SCO,3D,TR1,CPART13D,O15M,2015,29
IIA,IRL,3D,TR1,CPART13D,O15M,2015,10
IIA,SCO,3D,TR1,CPART13C,O15M,2015,29
IIA,SCO,3D,TR1,CPART13C,O10T15M,2015,1
IIA,FRA,3D,TR1,CPART13B,O15M,2015,4
IIA,SCO,3D,TR1,CPART11,O15M,2015,1
IIA,IRL,3D,TR1,CPART11,O15M,2015,5
IIA,FRA,3D,TR1,CPART11,O15M,2015,4
IIA,SCO,3D,TR1,CPART11,O10T15M,2015,1
IIA,SCO,3D,POTS,NONE,U10M,2015,333
IIA,NIR,3D,POTS,NONE,U10M,2015,19
IIA,ENG,3D,POTS,NONE,U10M,2015,4
IIA,SCO,3D,POTS,NONE,O15M,2015,8
IIA,NIR,3D,POTS,NONE,O15M,2015,1
IIA,IRL,3D,POTS,NONE,O15M,2015,2
IIA,ENG,3D,POTS,NONE,O15M,2015,1
IIA,DEU,3D,POTS,NONE,O15M,2015,1
IIA,SCO,3D,POTS,NONE,O10T15M,2015,52
IIA,NIR,3D,POTS,NONE,O10T15M,2015,5
IIA,IRL,3D,POTS,NONE,O10T15M,2015,31
IIA,LTU,3D,PEL_TRAWL,NONE,O40M,2015,1
IIA,SCO,3D,PEL_TRAWL,NONE,O15M,2015,20
IIA,NLD,3D,PEL_TRAWL,NONE,O15M,2015,4
IIA,NIR,3D,PEL_TRAWL,NONE,O15M,2015,2
IIA,IRL,3D,PEL_TRAWL,NONE,O15M,2015,40
IIA,FRA,3D,PEL_TRAWL,NONE,O15M,2015,2
IIA,ENG,3D,PEL_TRAWL,NONE,O15M,2015,3
IIA,DNK,3D,PEL_TRAWL,NONE,O15M,2015,2
IIA,DEU,3D,PEL_TRAWL,NONE,O15M,2015,4
IIA,IRL,3D,PEL_TRAWL,NONE,O10T15M,2015,3
IIA,SCO,3D,OTTER,NONE,U10M,2015,1
IIA,SCO,3D,OTTER,NONE,O15M,2015,9
IIA,NIR,3D,OTTER,NONE,O15M,2015,1
IIA,IRL,3D,OTTER,NONE,O15M,2015,1
IIA,ENG,3D,OTTER,NONE,O15M,2015,2
IIA,SCO,3D,OTTER,NONE,O10T15M,2015,1
IIA,IRL,3D,OTTER,NONE,O10T15M,2015,1
IIA,SCO,3D,NONE,NONE,U10M,2015,23
IIA,SCO,3D,NONE,NONE,O15M,2015,1
IIA,SCO,3D,NONE,NONE,O10T15M,2015,7
IIA,SCO,3D,LL1,NONE,U10M,2015,11
IIA,NIR,3D,LL1,NONE,U10M,2015,2
IIA,SCO,3D,LL1,NONE,O15M,2015,6
IIA,FRA,3D,LL1,NONE,O15M,2015,5
IIA,ESP,3D,LL1,NONE,O15M,2015,11
IIA,ENG,3D,LL1,NONE,O15M,2015,4
IIA,IRL,3D,LL1,NONE,O10T15M,2015,3
IIA,NIR,3D,GN1,NONE,U10M,2015,1
IIA,SCO,3D,GN1,NONE,O15M,2015,1
IIA,IRL,3D,GN1,NONE,O15M,2015,1
IIA,FRA,3D,GN1,NONE,O15M,2015,2
IIA,DEU,3D,GN1,NONE,O15M,2015,1
IIA,SCO,3D,GN1,NONE,O10T15M,2015,1
IIA,IRL,3D,GN1,NONE,O10T15M,2015,1
IIA,SCO,3D,DREDGE,NONE,U10M,2015,9
IIA,NIR,3D,DREDGE,NONE,U10M,2015,4
IIA,SCO,3D,DREDGE,NONE,O15M,2015,30
IIA,NIR,3D,DREDGE,NONE,O15M,2015,4
IIA,IRL,3D,DREDGE,NONE,O15M,2015,1
IIA,IOM,3D,DREDGE,NONE,O15M,2015,4
IIA,ENG,3D,DREDGE,NONE,O15M,2015,3
IIA,SCO,3D,DREDGE,NONE,O10T15M,2015,13
IIA,NIR,3D,DREDGE,NONE,O10T15M,2015,8
IIA,IOM,3D,DREDGE,NONE,O10T15M,2015,3
IIA,ENG,3D,DREDGE,NONE,O10T15M,2015,1
IIA,NIR,3C,TR3,NONE,O15M,2015,1
