annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
IIB,PRT,8C-9A,POTS,NONE,O15M,2015,85425
IIB,ESP,8C-9A,POTS,NONE,O15M,2015,57691.07
IIB,DEU,8C-9A,POTS,NONE,O15M,2015,2793
IIB,PRT,8C-9A,POTS,NONE,O10T15M,2015,174577
IIB,FRA,8C-9A,POTS,NONE,O10T15M,2015,313
IIB,ESP,8C-9A,POTS,NONE,O10T15M,2015,1761475.97
IIB,ESP,8C-9A,POTS,NONE,NONE,2015,64906.9
IIB,FRA,8C-9A,PEL_TRAWL,NONE,O15M,2015,8702.75
IIB,ESP,8C-9A,PEL_TRAWL,NONE,O15M,2015,4283.58
IIB,ESP,8C-9A,PEL_SEINE,NONE,U10M,2015,132.3
IIB,PRT,8C-9A,PEL_SEINE,NONE,O15M,2015,122775
IIB,FRA,8C-9A,PEL_SEINE,NONE,O15M,2015,368
IIB,ESP,8C-9A,PEL_SEINE,NONE,O15M,2015,8517376.13
IIB,FRA,8C-9A,PEL_SEINE,NONE,O10T15M,2015,109
IIB,ESP,8C-9A,PEL_SEINE,NONE,O10T15M,2015,590246.66
IIB,ESP,8C-9A,PEL_SEINE,NONE,NONE,2015,219878.22
IIB,PRT,8C-9A,OTTER,NONE,O15M,2015,458027
IIB,ESP,8C-9A,OTTER,NONE,NONE,2015,246.96
IIB,PRT,8C-9A,NONE,NONE,U10M,2015,2642858
IIB,PRT,8C-9A,GILL,NONE,O15M,2015,238261
IIB,PRT,8C-9A,GILL,NONE,O10T15M,2015,15435
IIB,ESP,8C-9A,GILL,NONE,O10T15M,2015,87581.59
IIB,ESP,8C-9A,GILL,NONE,NONE,2015,14999.16
IIB,ESP,8C-9A,DREDGE,NONE,O15M,2015,134758.58
IIB,FRA,8C-9A,DREDGE,NONE,O10T15M,2015,177
IIB,ESP,8C-9A,DREDGE,NONE,O10T15M,2015,854851.7
IIB,ESP,8C-9A,DREDGE,NONE,NONE,2015,261396.01
IIB,ESP,8C-9A,DEM_SEINE,NONE,O10T15M,2015,2848.87
IIB,ESP,8C-9A,BEAM,NONE,O10T15M,2015,16175.16
IIB,PRT,8C-9A,3T,NONE,O15M,2015,625243
IIB,FRA,8C-9A,3T,NONE,O15M,2015,1746.91
IIB,ESP,8C-9A,3T,NONE,O15M,2015,148734.61
IIB,PRT,8C-9A,3T,NONE,O10T15M,2015,479231
IIB,FRA,8C-9A,3T,NONE,O10T15M,2015,1172.16
IIB,ESP,8C-9A,3T,NONE,O10T15M,2015,698668.1
IIB,ESP,8C-9A,3T,NONE,NONE,2015,153976.94
IIB,SCO,8C-9A,3C,NONE,O15M,2015,2445.36
IIB,PRT,8C-9A,3C,NONE,O15M,2015,626890
IIB,FRA,8C-9A,3C,NONE,O15M,2015,16828.59
IIB,ESP,8C-9A,3C,NONE,O15M,2015,571233.86
IIB,PRT,8C-9A,3C,NONE,O10T15M,2015,104343
IIB,FRA,8C-9A,3C,NONE,O10T15M,2015,663.07
IIB,ESP,8C-9A,3C,NONE,O10T15M,2015,789229.21
IIB,ESP,8C-9A,3C,NONE,NONE,2015,131828.15
IIB,PRT,8C-9A,3C,IIB72AB,O15M,2015,85220
IIB,ESP,8C-9A,3C,IIB72AB,O15M,2015,60615.45
IIB,PRT,8C-9A,3C,IIB72AB,O10T15M,2015,20855
IIB,ESP,8C-9A,3C,IIB72AB,O10T15M,2015,11642.4
IIB,ESP,8C-9A,3C,IIB72AB,NONE,2015,441
IIB,ESP,8C-9A,3B,NONE,U10M,2015,5127.36
IIB,SCO,8C-9A,3B,NONE,O15M,2015,485
IIB,PRT,8C-9A,3B,NONE,O15M,2015,526682
IIB,FRA,8C-9A,3B,NONE,O15M,2015,9391.16
IIB,ESP,8C-9A,3B,NONE,O15M,2015,1453627.21
IIB,PRT,8C-9A,3B,NONE,O10T15M,2015,94606
IIB,FRA,8C-9A,3B,NONE,O10T15M,2015,980.34
