country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
ESP,discards,8C-9A,3T,ZGP,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,ZEX,NONE,O15M,2015,
ESP,discards,8C-9A,3T,ZEX,NONE,NONE,2015,
ESP,discards,8C-9A,3A,YUR,NONE,O15M,2015,
ESP,discards,8C-9A,3T,YRS,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,YOX,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,YNU,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,YNU,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,YNU,NONE,O15M,2015,
ESP,discards,8C-9A,3A,YIW,NONE,O15M,2015,
ESP,discards,8C-9A,GILL,YFX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,YFX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,YFT,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,YFM,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,YFC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,YFC,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,YEZ,NONE,O15M,2015,
ESP,discards,8C-9A,3T,XOD,NONE,O15M,2015,
ESP,discards,8C-9A,3B,XOD,NONE,O15M,2015,
ESP,discards,8C-9A,3A,XOD,NONE,O15M,2015,
ESP,discards,8C-9A,3A,XHK,NONE,O15M,2015,
ESP,discards,8C-9A,3B,WRM,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,WRF,NONE,O10T15M,2015,
PRT,discards,8C-9A,3T,WRF,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WRF,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WRF,NONE,NONE,2015,
PRT,discards,8C-9A,3C,WRF,NONE,O15M,2015,
ESP,discards,8C-9A,3C,WRF,NONE,O15M,2015,
PRT,discards,8C-9A,3C,WRF,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,WRF,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,WRF,NONE,NONE,2015,
PRT,discards,8C-9A,3C,WRF,IIB72AB,O15M,2015,
ESP,discards,8C-9A,3C,WRF,IIB72AB,O15M,2015,
PRT,discards,8C-9A,3B,WRF,NONE,O15M,2015,
ESP,discards,8C-9A,3B,WRF,NONE,O15M,2015,
ESP,discards,8C-9A,3B,WRF,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,WRF,NONE,NONE,2015,
ESP,discards,8C-9A,3A,WRF,NONE,O15M,2015,
ESP,discards,8C-9A,POTS,WRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,WRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,WRA,NONE,NONE,2015,
ESP,discards,8C-9A,BEAM,WRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WRA,NONE,NONE,2015,
ESP,discards,8C-9A,3C,WRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,WRA,NONE,NONE,2015,
ESP,discards,8C-9A,3B,WRA,NONE,O15M,2015,
ESP,discards,8C-9A,3B,WRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,WRA,NONE,NONE,2015,
ESP,discards,8C-9A,3A,WRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,WKX,NONE,O15M,2015,
ESP,discards,8C-9A,3A,WKS,NONE,O15M,2015,
ESP,discards,8C-9A,3A,WKK,NONE,O15M,2015,
ESP,discards,8C-9A,3T,WIT,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,WHM,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,WHM,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,WHM,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WHL,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,WHL,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,WHL,NONE,O10T15M,2015,
FRA,discards,8C-9A,PEL_TRAWL,WHG,NONE,O15M,2015,
ESP,discards,8C-9A,GILL,WHG,NONE,O10T15M,2015,
PRT,discards,8C-9A,3T,WHG,NONE,O10T15M,2015,
PRT,discards,8C-9A,3C,WHG,NONE,O10T15M,2015,
PRT,discards,8C-9A,3B,WHG,NONE,O15M,2015,
FRA,discards,8C-9A,3A,WHG,NONE,O15M,2015,
ESP,discards,8C-9A,3A,WHG,NONE,O15M,2015,
FRA,discards,8C-9A,3A,WHG,IIB72AB,O15M,2015,
ESP,discards,8C-9A,3B,WHF,NONE,O10T15M,2015,
FRA,discards,8C-9A,POTS,WHE,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,WHE,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WHE,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,WHB,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_TRAWL,WHB,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,WHB,NONE,O10T15M,2015,
PRT,discards,8C-9A,OTTER,WHB,NONE,O15M,2015,28.023009
ESP,discards,8C-9A,DREDGE,WHB,NONE,O15M,2015,
ESP,discards,8C-9A,3T,WHB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,WHB,NONE,O15M,2015,
ESP,discards,8C-9A,3C,WHB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,WHB,NONE,NONE,2015,
ESP,discards,8C-9A,3C,WHB,IIB72AB,O15M,2015,
PRT,discards,8C-9A,3B,WHB,NONE,O15M,2015,
ESP,discards,8C-9A,3B,WHB,NONE,O15M,2015,
ESP,discards,8C-9A,3B,WHB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,WHB,NONE,NONE,2015,
PRT,discards,8C-9A,3B,WHB,IIB72AB,O15M,2015,
PRT,discards,8C-9A,3A,WHB,NONE,O15M,2015,1192.726648
FRA,discards,8C-9A,3A,WHB,NONE,O15M,2015,0.016
ESP,discards,8C-9A,3A,WHB,NONE,O15M,2015,16874.512
ESP,discards,8C-9A,3A,WHB,NONE,O10T15M,2015,0.007
ESP,discards,8C-9A,3A,WHB,NONE,NONE,2015,0.034
PRT,discards,8C-9A,3A,WHB,IIB72AB,O15M,2015,98.924476
PRT,discards,8C-9A,3A,WHB,IIB72AB,O10T15M,2015,3.692867
ESP,discards,8C-9A,3B,WHA,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,WEX,NONE,O15M,2015,
ESP,discards,8C-9A,DREDGE,WEX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WEX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,WEX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,WEX,NONE,O15M,2015,
ESP,discards,8C-9A,3A,WEX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,WEX,NONE,NONE,2015,
ESP,discards,8C-9A,PEL_TRAWL,WEG,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,WEG,NONE,O15M,2015,
FRA,discards,8C-9A,3T,WEG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,WEG,NONE,O10T15M,2015,
FRA,discards,8C-9A,3B,WEG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,WEG,NONE,O10T15M,2015,
FRA,discards,8C-9A,3A,WEG,NONE,O15M,2015,
ESP,discards,8C-9A,3A,WEG,NONE,O15M,2015,
ESP,discards,8C-9A,3A,WEG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,WEG,NONE,NONE,2015,
ESP,discards,8C-9A,POTS,VSC,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,VSC,NONE,O10T15M,2015,
ESP,discards,8C-9A,DREDGE,VSC,NONE,O10T15M,2015,
ESP,discards,8C-9A,BEAM,VSC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,VSC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,VSC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,VRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,VRA,NONE,O15M,2015,
ESP,discards,8C-9A,POTS,VNR,NONE,O10T15M,2015,
ESP,discards,8C-9A,DREDGE,VNR,NONE,O10T15M,2015,
ESP,discards,8C-9A,DREDGE,VNR,NONE,NONE,2015,
ESP,discards,8C-9A,3T,VNA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,VLO,NONE,O15M,2015,
ESP,discards,8C-9A,3T,VLO,NONE,NONE,2015,
FRA,discards,8C-9A,3B,VLO,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,VLO,NONE,NONE,2015,
ESP,discards,8C-9A,3A,VLO,NONE,O15M,2015,
ESP,discards,8C-9A,3T,VEV,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,VET,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,VAR,NONE,O15M,2015,
ESP,discards,8C-9A,3T,VAR,NONE,NONE,2015,
ESP,discards,8C-9A,3C,VAD,NONE,O15M,2015,
ESP,discards,8C-9A,3C,VAD,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,VAD,NONE,NONE,2015,
ESP,discards,8C-9A,3C,VAD,IIB72AB,O15M,2015,
ESP,discards,8C-9A,3B,VAD,NONE,O15M,2015,
ESP,discards,8C-9A,3T,UUC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,UUC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,UUC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,USR,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,USL,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,USI,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,USI,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,USI,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,USI,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,USG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,USE,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,USB,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,USB,NONE,NONE,2015,
ESP,discards,8C-9A,PEL_SEINE,USB,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,USB,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,USB,NONE,NONE,2015,
ESP,discards,8C-9A,BEAM,USB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,USB,NONE,O15M,2015,
ESP,discards,8C-9A,3T,USB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,USB,NONE,NONE,2015,
ESP,discards,8C-9A,3C,USB,NONE,O15M,2015,
ESP,discards,8C-9A,3C,USB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,USB,NONE,NONE,2015,
ESP,discards,8C-9A,3B,USB,NONE,U10M,2015,
ESP,discards,8C-9A,3B,USB,NONE,O15M,2015,
ESP,discards,8C-9A,3B,USB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,USB,NONE,NONE,2015,
ESP,discards,8C-9A,3B,URM,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,URB,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,URA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,URA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,URA,NONE,O10T15M,2015,
ESP,discards,8C-9A,DREDGE,UNR,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,UMO,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,UMO,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,UMO,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,UMO,NONE,NONE,2015,
ESP,discards,8C-9A,3T,UCH,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,UCA,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,UCA,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,UCA,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,UCA,NONE,O10T15M,2015,
FRA,discards,8C-9A,3T,UCA,NONE,O15M,2015,
ESP,discards,8C-9A,3T,UCA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,UCA,NONE,NONE,2015,
FRA,discards,8C-9A,3C,UCA,NONE,O15M,2015,
ESP,discards,8C-9A,3C,UCA,NONE,O10T15M,2015,
FRA,discards,8C-9A,3B,UCA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,UCA,NONE,O10T15M,2015,
FRA,discards,8C-9A,3A,UCA,NONE,O15M,2015,
ESP,discards,8C-9A,3A,UCA,NONE,O15M,2015,
ESP,discards,8C-9A,3A,UCA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,UCA,NONE,NONE,2015,
ESP,discards,8C-9A,GILL,UBS,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,UBS,NONE,O15M,2015,
ESP,discards,8C-9A,3A,UBS,NONE,O15M,2015,
ESP,discards,8C-9A,3C,UAD,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TZY,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,TZA,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TZA,NONE,O15M,2015,
ESP,discards,8C-9A,POTS,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,TUR,NONE,NONE,2015,
ESP,discards,8C-9A,PEL_SEINE,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,TUR,NONE,NONE,2015,
ESP,discards,8C-9A,DREDGE,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,BEAM,TUR,NONE,O10T15M,2015,
PRT,discards,8C-9A,3T,TUR,NONE,O15M,2015,
FRA,discards,8C-9A,3T,TUR,NONE,O15M,2015,
ESP,discards,8C-9A,3T,TUR,NONE,O15M,2015,
PRT,discards,8C-9A,3T,TUR,NONE,O10T15M,2015,
FRA,discards,8C-9A,3T,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TUR,NONE,NONE,2015,
ESP,discards,8C-9A,3C,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TUR,NONE,U10M,2015,
ESP,discards,8C-9A,3B,TUR,NONE,O15M,2015,
FRA,discards,8C-9A,3B,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TUR,NONE,NONE,2015,
FRA,discards,8C-9A,3A,TUR,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TUR,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TUR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TUR,NONE,NONE,2015,
ESP,discards,8C-9A,3T,TTR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TTR,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,TSD,NONE,O15M,2015,
ESP,discards,8C-9A,PEL_SEINE,TSD,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,TSD,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TSD,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TSD,NONE,NONE,2015,
ESP,discards,8C-9A,3B,TSD,NONE,O15M,2015,
ESP,discards,8C-9A,3B,TSD,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TRU,NONE,O15M,2015,
ESP,discards,8C-9A,3T,TRS,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TRK,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TRK,NONE,O15M,2015,
ESP,discards,8C-9A,GILL,TRI,NONE,O10T15M,2015,
FRA,discards,8C-9A,3T,TRI,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TRI,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TRI,NONE,O15M,2015,
ESP,discards,8C-9A,POTS,TRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,TRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,TRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TRG,NONE,NONE,2015,
ESP,discards,8C-9A,3C,TRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TRG,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TRG,NONE,NONE,2015,
ESP,discards,8C-9A,3T,TRE,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,TRB,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TRA,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TRA,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TQS,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,TOE,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TOE,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TOE,NONE,NONE,2015,
ESP,discards,8C-9A,3A,TOE,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TOE,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TOE,NONE,NONE,2015,
ESP,discards,8C-9A,3T,TOD,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TOD,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,TOD,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TOD,NONE,NONE,2015,
ESP,discards,8C-9A,3T,THS,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,THS,NONE,O15M,2015,
ESP,discards,8C-9A,3T,THR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,THR,NONE,O15M,2015,
ESP,discards,8C-9A,GILL,TGR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,TGR,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,TDQ,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TDQ,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,TDQ,NONE,NONE,2015,
ESP,discards,8C-9A,3B,TDQ,NONE,NONE,2015,
ESP,discards,8C-9A,3A,TDQ,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TDF,NONE,O15M,2015,
ESP,discards,8C-9A,3A,TDF,NONE,NONE,2015,
ESP,discards,8C-9A,3A,TCW,NONE,O15M,2015,
ESP,discards,8C-9A,POTS,SYX,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,SYX,NONE,NONE,2015,
ESP,discards,8C-9A,BEAM,SYX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SYX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,SYX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SYX,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SYX,NONE,NONE,2015,
ESP,discards,8C-9A,3A,SYX,NONE,O15M,2015,
ESP,discards,8C-9A,3T,SYT,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SYT,NONE,NONE,2015,
ESP,discards,8C-9A,BEAM,SYR,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SYR,NONE,NONE,2015,
ESP,discards,8C-9A,BEAM,SYP,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SYL,NONE,U10M,2015,
ESP,discards,8C-9A,3B,SYK,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SYI,NONE,O10T15M,2015,
ESP,discards,8C-9A,POTS,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,PEL_SEINE,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,GILL,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3T,SYC,NONE,NONE,2015,
ESP,discards,8C-9A,3C,SYC,NONE,O15M,2015,
ESP,discards,8C-9A,3C,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3C,SYC,IIB72AB,O10T15M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,U10M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,O15M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3B,SYC,NONE,NONE,2015,
ESP,discards,8C-9A,3A,SYC,NONE,O15M,2015,
ESP,discards,8C-9A,3A,SYC,NONE,O10T15M,2015,
ESP,discards,8C-9A,3A,SYC,NONE,NONE,2015,
ESP,discards,8C-9A,3B,SWR,NONE,O10T15M,2015,
