annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
IIB,PRT,8C-9A,POTS,NONE,O15M,2015,18
IIB,ESP,8C-9A,POTS,NONE,O15M,2015,5
IIB,DEU,8C-9A,POTS,NONE,O15M,2015,1
IIB,PRT,8C-9A,POTS,NONE,O10T15M,2015,56
IIB,FRA,8C-9A,POTS,NONE,O10T15M,2015,1
IIB,ESP,8C-9A,POTS,NONE,O10T15M,2015,78
IIB,ESP,8C-9A,POTS,NONE,NONE,2015,8
IIB,FRA,8C-9A,PEL_TRAWL,NONE,O15M,2015,12
IIB,ESP,8C-9A,PEL_TRAWL,NONE,O15M,2015,1
IIB,ESP,8C-9A,PEL_SEINE,NONE,U10M,2015,1
IIB,PRT,8C-9A,PEL_SEINE,NONE,O15M,2015,5
IIB,FRA,8C-9A,PEL_SEINE,NONE,O15M,2015,1
IIB,ESP,8C-9A,PEL_SEINE,NONE,O15M,2015,175
IIB,FRA,8C-9A,PEL_SEINE,NONE,O10T15M,2015,1
IIB,ESP,8C-9A,PEL_SEINE,NONE,O10T15M,2015,52
IIB,ESP,8C-9A,PEL_SEINE,NONE,NONE,2015,12
IIB,PRT,8C-9A,OTTER,NONE,O15M,2015,6
IIB,ESP,8C-9A,OTTER,NONE,NONE,2015,1
IIB,PRT,8C-9A,NONE,NONE,U10M,2015,1583
IIB,PRT,8C-9A,GILL,NONE,O15M,2015,20
IIB,PRT,8C-9A,GILL,NONE,O10T15M,2015,2
IIB,ESP,8C-9A,GILL,NONE,O10T15M,2015,14
IIB,ESP,8C-9A,GILL,NONE,NONE,2015,2
IIB,ESP,8C-9A,DREDGE,NONE,O15M,2015,7
IIB,FRA,8C-9A,DREDGE,NONE,O10T15M,2015,1
IIB,ESP,8C-9A,DREDGE,NONE,O10T15M,2015,44
IIB,ESP,8C-9A,DREDGE,NONE,NONE,2015,23
IIB,ESP,8C-9A,DEM_SEINE,NONE,O10T15M,2015,2
IIB,ESP,8C-9A,BEAM,NONE,O10T15M,2015,10
IIB,PRT,8C-9A,3T,NONE,O15M,2015,42
IIB,FRA,8C-9A,3T,NONE,O15M,2015,1
IIB,ESP,8C-9A,3T,NONE,O15M,2015,10
IIB,PRT,8C-9A,3T,NONE,O10T15M,2015,72
IIB,FRA,8C-9A,3T,NONE,O10T15M,2015,2
IIB,ESP,8C-9A,3T,NONE,O10T15M,2015,75
IIB,ESP,8C-9A,3T,NONE,NONE,2015,11
IIB,SCO,8C-9A,3C,NONE,O15M,2015,1
IIB,PRT,8C-9A,3C,NONE,O15M,2015,23
IIB,FRA,8C-9A,3C,NONE,O15M,2015,2
IIB,ESP,8C-9A,3C,NONE,O15M,2015,35
IIB,PRT,8C-9A,3C,NONE,O10T15M,2015,7
IIB,FRA,8C-9A,3C,NONE,O10T15M,2015,1
IIB,ESP,8C-9A,3C,NONE,O10T15M,2015,77
IIB,ESP,8C-9A,3C,NONE,NONE,2015,14
IIB,PRT,8C-9A,3C,IIB72AB,O15M,2015,6
IIB,ESP,8C-9A,3C,IIB72AB,O15M,2015,3
