annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
IIC,FRA,7E,TRAMMEL,NONE,U10M,2015,30614.33
IIC,FRA,7E,TRAMMEL,NONE,O15M,2015,232872.11
IIC,ENG,7E,TRAMMEL,NONE,O15M,2015,67259.67
IIC,FRA,7E,TRAMMEL,NONE,O10T15M,2015,204571.81
IIC,ENG,7E,TRAMMEL,NONE,O10T15M,2015,6365.42
IIC,SCO,7E,POTS,NONE,U10M,2015,37
IIC,NIR,7E,POTS,NONE,U10M,2015,131
IIC,GBJ,7E,POTS,NONE,U10M,2015,426.62
IIC,GBG,7E,POTS,NONE,U10M,2015,147.2
IIC,FRA,7E,POTS,NONE,U10M,2015,1232400.05
IIC,ENG,7E,POTS,NONE,U10M,2015,779559.56
IIC,IOM,7E,POTS,NONE,O15M,2015,2132
IIC,GBG,7E,POTS,NONE,O15M,2015,49798.69
IIC,FRA,7E,POTS,NONE,O15M,2015,213591.02
IIC,ENG,7E,POTS,NONE,O15M,2015,264444.17
IIC,GBG,7E,POTS,NONE,O10T15M,2015,46582.37
IIC,FRA,7E,POTS,NONE,O10T15M,2015,1382579.04
IIC,ENG,7E,POTS,NONE,O10T15M,2015,463526.16
IIC,FRA,7E,PEL_TRAWL,NONE,U10M,2015,1645.07
IIC,ENG,7E,PEL_TRAWL,NONE,U10M,2015,120
IIC,LTU,7E,PEL_TRAWL,NONE,O40M,2015,54600
IIC,NLD,7E,PEL_TRAWL,NONE,O15M,2015,372670
IIC,IRL,7E,PEL_TRAWL,NONE,O15M,2015,8832
IIC,FRA,7E,PEL_TRAWL,NONE,O15M,2015,230788.19
IIC,ENG,7E,PEL_TRAWL,NONE,O15M,2015,71380.09
IIC,DNK,7E,PEL_TRAWL,NONE,O15M,2015,39361.88
IIC,DEU,7E,PEL_TRAWL,NONE,O15M,2015,148428
IIC,FRA,7E,PEL_TRAWL,NONE,O10T15M,2015,4248.78
IIC,ENG,7E,PEL_TRAWL,NONE,O10T15M,2015,59535
IIC,FRA,7E,PEL_SEINE,NONE,O15M,2015,270110.84
IIC,FRA,7E,PEL_SEINE,NONE,O10T15M,2015,33246.75
IIC,ENG,7E,PEL_SEINE,NONE,O10T15M,2015,39653.32
IIC,SCO,7E,OTTER,NONE,U10M,2015,223.8
IIC,NIR,7E,OTTER,NONE,U10M,2015,1572
IIC,FRA,7E,OTTER,NONE,U10M,2015,41904.75
IIC,ENG,7E,OTTER,NONE,U10M,2015,387233.73
IIC,SCO,7E,OTTER,NONE,O15M,2015,121170.43
IIC,IRL,7E,OTTER,NONE,O15M,2015,4392
IIC,GBJ,7E,OTTER,NONE,O15M,2015,35640
IIC,FRA,7E,OTTER,NONE,O15M,2015,5121288.79
IIC,ENG,7E,OTTER,NONE,O15M,2015,138889.49
IIC,BEL,7E,OTTER,NONE,O15M,2015,44853
IIC,GBG,7E,OTTER,NONE,O10T15M,2015,40001
IIC,FRA,7E,OTTER,NONE,O10T15M,2015,902564.72
IIC,ENG,7E,OTTER,NONE,O10T15M,2015,1480222.28
IIC,SCO,7E,NONE,NONE,U10M,2015,138
IIC,FRA,7E,LONGLINE,NONE,U10M,2015,489276.8
IIC,ENG,7E,LONGLINE,NONE,U10M,2015,287906.92
IIC,FRA,7E,LONGLINE,NONE,O15M,2015,75328.54
IIC,ESP,7E,LONGLINE,NONE,O15M,2015,8399.58
IIC,FRA,7E,LONGLINE,NONE,O10T15M,2015,84848.76
IIC,ENG,7E,LONGLINE,NONE,O10T15M,2015,37148.5
IIC,SCO,7E,GILL,NONE,U10M,2015,29.84
IIC,FRA,7E,GILL,NONE,U10M,2015,27488.98
IIC,ENG,7E,GILL,NONE,U10M,2015,74740.64
IIC,FRA,7E,GILL,NONE,O15M,2015,217424.94
IIC,ENG,7E,GILL,NONE,O15M,2015,1920
IIC,FRA,7E,GILL,NONE,O10T15M,2015,242633.29
IIC,ENG,7E,GILL,NONE,O10T15M,2015,14448.92
IIC,SCO,7E,DREDGE,NONE,U10M,2015,783.3
IIC,NIR,7E,DREDGE,NONE,U10M,2015,5697.75
IIC,FRA,7E,DREDGE,NONE,U10M,2015,485829.28
IIC,ENG,7E,DREDGE,NONE,U10M,2015,93848.87
IIC,SCO,7E,DREDGE,NONE,O15M,2015,474559.42
IIC,IRL,7E,DREDGE,NONE,O15M,2015,11289
IIC,FRA,7E,DREDGE,NONE,O15M,2015,409720.69
IIC,ENG,7E,DREDGE,NONE,O15M,2015,917147.56
IIC,BEL,7E,DREDGE,NONE,O15M,2015,76765
IIC,SCO,7E,DREDGE,NONE,O10T15M,2015,17348.5
IIC,NIR,7E,DREDGE,NONE,O10T15M,2015,20639.2
IIC,FRA,7E,DREDGE,NONE,O10T15M,2015,1562984.3
IIC,ENG,7E,DREDGE,NONE,O10T15M,2015,527853.62
IIC,ENG,7E,DEM_SEINE,NONE,U10M,2015,429.52
IIC,NLD,7E,DEM_SEINE,NONE,O15M,2015,40048
IIC,IRL,7E,DEM_SEINE,NONE,O15M,2015,5076
IIC,FRA,7E,DEM_SEINE,NONE,O15M,2015,105312.59
IIC,ENG,7E,DEM_SEINE,NONE,O15M,2015,29367.17
IIC,BEL,7E,DEM_SEINE,NONE,O15M,2015,15290
IIC,ENG,7E,DEM_SEINE,NONE,O10T15M,2015,26224
IIC,ENG,7E,BEAM,NONE,U10M,2015,442
IIC,ENG,7E,BEAM,NONE,O15M,2015,2868.89
