country,Measure Names,reg_area_cod,reg_gear_cod,species,specon,vessel length,year,Measure Values
ENG,discards,7E,3A,ZGP,NONE,O15M,2015,0.075
SCO,discards,7E,OTTER,WRF,NONE,O15M,2015,
ENG,discards,7E,GILL,WRF,NONE,U10M,2015,
ENG,discards,7E,TRAMMEL,WRA,NONE,O15M,2015,
ENG,discards,7E,POTS,WRA,NONE,U10M,2015,
ENG,discards,7E,POTS,WRA,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,WRA,NONE,U10M,2015,
ENG,discards,7E,OTTER,WRA,NONE,O10T15M,2015,
ENG,discards,7E,LONGLINE,WRA,NONE,U10M,2015,
ENG,discards,7E,GILL,WRA,NONE,U10M,2015,
ENG,discards,7E,GILL,WRA,NONE,O15M,2015,
ENG,discards,7E,GILL,WRA,NONE,O10T15M,2015,
ENG,discards,7E,3B,WRA,NONE,U10M,2015,
ENG,discards,7E,3B,WRA,NONE,O15M,2015,
ENG,discards,7E,3B,WRA,NONE,O10T15M,2015,
ENG,discards,7E,3A,WRA,NONE,O15M,2015,
BEL,discards,7E,3A,WRA,NONE,O15M,2015,
FRA,discards,7E,PEL_SEINE,WIT,NONE,O15M,2015,
ENG,discards,7E,OTTER,WIT,NONE,U10M,2015,0.002
SCO,discards,7E,OTTER,WIT,NONE,O15M,2015,0
FRA,discards,7E,OTTER,WIT,NONE,O15M,2015,0.056733
ENG,discards,7E,OTTER,WIT,NONE,O15M,2015,0.003
BEL,discards,7E,OTTER,WIT,NONE,O15M,2015,0.003
FRA,discards,7E,OTTER,WIT,NONE,O10T15M,2015,0
ENG,discards,7E,OTTER,WIT,NONE,O10T15M,2015,0.021
FRA,discards,7E,DREDGE,WIT,NONE,O10T15M,2015,
ENG,discards,7E,DREDGE,WIT,NONE,O10T15M,2015,
FRA,discards,7E,DEM_SEINE,WIT,NONE,O15M,2015,
ENG,discards,7E,BEAM,WIT,NONE,O15M,2015,
FRA,discards,7E,3B,WIT,NONE,U10M,2015,
ENG,discards,7E,3B,WIT,NONE,U10M,2015,
ENG,discards,7E,3A,WIT,NONE,O15M,2015,0.142
BEL,discards,7E,3A,WIT,NONE,O15M,2015,0.031
ENG,discards,7E,3A,WIT,NONE,O10T15M,2015,
FRA,discards,7E,TRAMMEL,WHG,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,WHG,NONE,O15M,2015,
ENG,discards,7E,TRAMMEL,WHG,NONE,O15M,2015,
FRA,discards,7E,TRAMMEL,WHG,NONE,O10T15M,2015,
ENG,discards,7E,TRAMMEL,WHG,NONE,O10T15M,2015,
FRA,discards,7E,POTS,WHG,NONE,U10M,2015,
ENG,discards,7E,POTS,WHG,NONE,U10M,2015,
FRA,discards,7E,POTS,WHG,NONE,O15M,2015,
FRA,discards,7E,POTS,WHG,NONE,O10T15M,2015,
ENG,discards,7E,POTS,WHG,NONE,O10T15M,2015,
FRA,discards,7E,PEL_TRAWL,WHG,NONE,U10M,2015,
NLD,discards,7E,PEL_TRAWL,WHG,NONE,O15M,2015,
FRA,discards,7E,PEL_TRAWL,WHG,NONE,O15M,2015,
DEU,discards,7E,PEL_TRAWL,WHG,NONE,O15M,2015,
FRA,discards,7E,PEL_TRAWL,WHG,NONE,O10T15M,2015,
ENG,discards,7E,PEL_TRAWL,WHG,NONE,O10T15M,2015,
FRA,discards,7E,PEL_SEINE,WHG,NONE,O15M,2015,
NIR,discards,7E,OTTER,WHG,NONE,U10M,2015,0.003
FRA,discards,7E,OTTER,WHG,NONE,U10M,2015,0.681
ENG,discards,7E,OTTER,WHG,NONE,U10M,2015,29.156
SCO,discards,7E,OTTER,WHG,NONE,O15M,2015,14.683
IRL,discards,7E,OTTER,WHG,NONE,O15M,2015,0.004
GBJ,discards,7E,OTTER,WHG,NONE,O15M,2015,0.329
FRA,discards,7E,OTTER,WHG,NONE,O15M,2015,3126.56238
ENG,discards,7E,OTTER,WHG,NONE,O15M,2015,13.467
BEL,discards,7E,OTTER,WHG,NONE,O15M,2015,2.155
FRA,discards,7E,OTTER,WHG,NONE,O10T15M,2015,16.268225
ENG,discards,7E,OTTER,WHG,NONE,O10T15M,2015,371.777
FRA,discards,7E,LONGLINE,WHG,NONE,U10M,2015,0
ENG,discards,7E,LONGLINE,WHG,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,WHG,NONE,O15M,2015,
FRA,discards,7E,LONGLINE,WHG,NONE,O10T15M,2015,
ENG,discards,7E,LONGLINE,WHG,NONE,O10T15M,2015,
ENG,discards,7E,GILL,WHG,NONE,U10M,2015,
FRA,discards,7E,GILL,WHG,NONE,O15M,2015,
ENG,discards,7E,GILL,WHG,NONE,O15M,2015,
FRA,discards,7E,GILL,WHG,NONE,O10T15M,2015,
ENG,discards,7E,GILL,WHG,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,WHG,NONE,U10M,2015,
ENG,discards,7E,DREDGE,WHG,NONE,U10M,2015,
FRA,discards,7E,DREDGE,WHG,NONE,O15M,2015,
ENG,discards,7E,DREDGE,WHG,NONE,O15M,2015,
NIR,discards,7E,DREDGE,WHG,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,WHG,NONE,O10T15M,2015,
ENG,discards,7E,DREDGE,WHG,NONE,O10T15M,2015,
NLD,discards,7E,DEM_SEINE,WHG,NONE,O15M,2015,1.106
IRL,discards,7E,DEM_SEINE,WHG,NONE,O15M,2015,
FRA,discards,7E,DEM_SEINE,WHG,NONE,O15M,2015,4.573385
ENG,discards,7E,DEM_SEINE,WHG,NONE,O15M,2015,
BEL,discards,7E,DEM_SEINE,WHG,NONE,O15M,2015,
ENG,discards,7E,BEAM,WHG,NONE,U10M,2015,
ENG,discards,7E,BEAM,WHG,NONE,O15M,2015,
FRA,discards,7E,3B,WHG,NONE,U10M,2015,0.017516
ENG,discards,7E,3B,WHG,NONE,U10M,2015,0
FRA,discards,7E,3B,WHG,NONE,O15M,2015,
ENG,discards,7E,3B,WHG,NONE,O15M,2015,
FRA,discards,7E,3B,WHG,NONE,O10T15M,2015,
ENG,discards,7E,3B,WHG,NONE,O10T15M,2015,
ENG,discards,7E,3A,WHG,NONE,O15M,2015,43.444
BEL,discards,7E,3A,WHG,NONE,O15M,2015,5.546
FRA,discards,7E,3A,WHG,NONE,O10T15M,2015,0.004
ENG,discards,7E,3A,WHG,NONE,O10T15M,2015,0.203
FRA,discards,7E,TRAMMEL,WHE,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,WHE,NONE,O10T15M,2015,
FRA,discards,7E,POTS,WHE,NONE,U10M,2015,
ENG,discards,7E,POTS,WHE,NONE,U10M,2015,
FRA,discards,7E,POTS,WHE,NONE,O15M,2015,
ENG,discards,7E,POTS,WHE,NONE,O15M,2015,
GBG,discards,7E,POTS,WHE,NONE,O10T15M,2015,
FRA,discards,7E,POTS,WHE,NONE,O10T15M,2015,
ENG,discards,7E,POTS,WHE,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,WHE,NONE,U10M,2015,
ENG,discards,7E,OTTER,WHE,NONE,U10M,2015,
FRA,discards,7E,OTTER,WHE,NONE,O15M,2015,
BEL,discards,7E,OTTER,WHE,NONE,O15M,2015,
FRA,discards,7E,OTTER,WHE,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,WHE,NONE,O10T15M,2015,
FRA,discards,7E,NONE,WHE,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,WHE,NONE,U10M,2015,
ENG,discards,7E,LONGLINE,WHE,NONE,U10M,2015,
FRA,discards,7E,LONGLINE,WHE,NONE,O10T15M,2015,
FRA,discards,7E,GILL,WHE,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,WHE,NONE,U10M,2015,
ENG,discards,7E,DREDGE,WHE,NONE,U10M,2015,
FRA,discards,7E,DREDGE,WHE,NONE,O10T15M,2015,
FRA,discards,7E,3B,WHE,NONE,U10M,2015,
ENG,discards,7E,3B,WHE,NONE,U10M,2015,
FRA,discards,7E,3B,WHE,NONE,O10T15M,2015,
BEL,discards,7E,3A,WHE,NONE,O15M,2015,
NLD,discards,7E,PEL_TRAWL,WHB,NONE,O15M,2015,
FRA,discards,7E,OTTER,WHB,NONE,O10T15M,2015,
ENG,discards,7E,3A,WHB,NONE,O15M,2015,1.019
FRA,discards,7E,PEL_SEINE,WEG,NONE,O15M,2015,
ENG,discards,7E,OTTER,WEG,NONE,U10M,2015,
FRA,discards,7E,OTTER,WEG,NONE,O15M,2015,
FRA,discards,7E,OTTER,WEG,NONE,O10T15M,2015,
ENG,discards,7E,OTTER,WEG,NONE,O10T15M,2015,
FRA,discards,7E,DEM_SEINE,WEG,NONE,O15M,2015,
ENG,discards,7E,DEM_SEINE,WEG,NONE,O15M,2015,
BEL,discards,7E,DEM_SEINE,WEG,NONE,O15M,2015,
FRA,discards,7E,3B,WEG,NONE,U10M,2015,
FRA,discards,7E,3B,WEG,NONE,O10T15M,2015,
FRA,discards,7E,3A,WEG,NONE,O15M,2015,
ENG,discards,7E,3A,WEG,NONE,O15M,2015,0.117
BEL,discards,7E,3A,WEG,NONE,O15M,2015,0.208
FRA,discards,7E,POTS,VSC,NONE,U10M,2015,
FRA,discards,7E,OTTER,VSC,NONE,O15M,2015,
FRA,discards,7E,OTTER,VSC,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,VSC,NONE,U10M,2015,
FRA,discards,7E,DREDGE,VSC,NONE,O10T15M,2015,
FRA,discards,7E,3B,VSC,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,VLO,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,VLO,NONE,O15M,2015,
FRA,discards,7E,TRAMMEL,VLO,NONE,O10T15M,2015,
FRA,discards,7E,POTS,VLO,NONE,U10M,2015,
FRA,discards,7E,POTS,VLO,NONE,O15M,2015,
FRA,discards,7E,POTS,VLO,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,VLO,NONE,O15M,2015,
FRA,discards,7E,OTTER,VLO,NONE,O10T15M,2015,
FRA,discards,7E,LONGLINE,VLO,NONE,U10M,2015,
FRA,discards,7E,GILL,VLO,NONE,U10M,2015,
FRA,discards,7E,GILL,VLO,NONE,O15M,2015,
FRA,discards,7E,GILL,VLO,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,VLO,NONE,U10M,2015,
FRA,discards,7E,DREDGE,VLO,NONE,O10T15M,2015,
FRA,discards,7E,3B,VLO,NONE,U10M,2015,
FRA,discards,7E,3B,VLO,NONE,O15M,2015,
FRA,discards,7E,3B,VLO,NONE,O10T15M,2015,
FRA,discards,7E,TRAMMEL,VEV,NONE,O10T15M,2015,
FRA,discards,7E,POTS,VEV,NONE,O10T15M,2015,
FRA,discards,7E,OTTER,VEV,NONE,U10M,2015,
FRA,discards,7E,OTTER,VEV,NONE,O15M,2015,
FRA,discards,7E,OTTER,VEV,NONE,O10T15M,2015,
FRA,discards,7E,LONGLINE,VEV,NONE,O10T15M,2015,
FRA,discards,7E,DREDGE,VEV,NONE,U10M,2015,
FRA,discards,7E,DREDGE,VEV,NONE,O15M,2015,
FRA,discards,7E,DREDGE,VEV,NONE,O10T15M,2015,
FRA,discards,7E,3B,VEV,NONE,U10M,2015,
FRA,discards,7E,3B,VEV,NONE,O10T15M,2015,
BEL,discards,7E,3A,USK,NONE,O15M,2015,
FRA,discards,7E,TRAMMEL,USB,NONE,U10M,2015,
FRA,discards,7E,TRAMMEL,USB,NONE,O15M,2015,
ENG,discards,7E,TRAMMEL,USB,NONE,O15M,2015,
FRA,discards,7E,TRAMMEL,USB,NONE,O10T15M,2015,
FRA,discards,7E,POTS,USB,NONE,U10M,2015,
FRA,discards,7E,POTS,USB,NONE,O15M,2015,
