annex,country,regulated area,regulated gear,specon,vessel length,year,measure calculation
IIC,FRA,7E,TRAMMEL,NONE,U10M,2015,13
IIC,FRA,7E,TRAMMEL,NONE,O15M,2015,14
IIC,ENG,7E,TRAMMEL,NONE,O15M,2015,3
IIC,FRA,7E,TRAMMEL,NONE,O10T15M,2015,28
IIC,ENG,7E,TRAMMEL,NONE,O10T15M,2015,4
IIC,SCO,7E,POTS,NONE,U10M,2015,1
IIC,NIR,7E,POTS,NONE,U10M,2015,1
IIC,GBJ,7E,POTS,NONE,U10M,2015,2
IIC,GBG,7E,POTS,NONE,U10M,2015,1
IIC,FRA,7E,POTS,NONE,U10M,2015,150
IIC,ENG,7E,POTS,NONE,U10M,2015,216
IIC,IOM,7E,POTS,NONE,O15M,2015,1
IIC,GBG,7E,POTS,NONE,O15M,2015,1
IIC,FRA,7E,POTS,NONE,O15M,2015,12
IIC,ENG,7E,POTS,NONE,O15M,2015,6
IIC,GBG,7E,POTS,NONE,O10T15M,2015,1
IIC,FRA,7E,POTS,NONE,O10T15M,2015,51
IIC,ENG,7E,POTS,NONE,O10T15M,2015,32
IIC,FRA,7E,PEL_TRAWL,NONE,U10M,2015,1
IIC,ENG,7E,PEL_TRAWL,NONE,U10M,2015,1
IIC,LTU,7E,PEL_TRAWL,NONE,O40M,2015,1
IIC,NLD,7E,PEL_TRAWL,NONE,O15M,2015,5
IIC,IRL,7E,PEL_TRAWL,NONE,O15M,2015,2
IIC,FRA,7E,PEL_TRAWL,NONE,O15M,2015,5
IIC,ENG,7E,PEL_TRAWL,NONE,O15M,2015,2
IIC,DNK,7E,PEL_TRAWL,NONE,O15M,2015,1
IIC,DEU,7E,PEL_TRAWL,NONE,O15M,2015,2
IIC,FRA,7E,PEL_TRAWL,NONE,O10T15M,2015,2
IIC,ENG,7E,PEL_TRAWL,NONE,O10T15M,2015,3
IIC,FRA,7E,PEL_SEINE,NONE,O15M,2015,18
IIC,FRA,7E,PEL_SEINE,NONE,O10T15M,2015,5
IIC,ENG,7E,PEL_SEINE,NONE,O10T15M,2015,3
IIC,SCO,7E,OTTER,NONE,U10M,2015,1
IIC,NIR,7E,OTTER,NONE,U10M,2015,1
IIC,FRA,7E,OTTER,NONE,U10M,2015,8
IIC,ENG,7E,OTTER,NONE,U10M,2015,62
IIC,SCO,7E,OTTER,NONE,O15M,2015,3
IIC,IRL,7E,OTTER,NONE,O15M,2015,1
IIC,GBJ,7E,OTTER,NONE,O15M,2015,1
IIC,FRA,7E,OTTER,NONE,O15M,2015,62
IIC,ENG,7E,OTTER,NONE,O15M,2015,2
IIC,BEL,7E,OTTER,NONE,O15M,2015,4
IIC,GBG,7E,OTTER,NONE,O10T15M,2015,1
IIC,FRA,7E,OTTER,NONE,O10T15M,2015,68
IIC,ENG,7E,OTTER,NONE,O10T15M,2015,55
IIC,SCO,7E,NONE,NONE,U10M,2015,1
IIC,FRA,7E,LONGLINE,NONE,U10M,2015,57
IIC,ENG,7E,LONGLINE,NONE,U10M,2015,211
IIC,FRA,7E,LONGLINE,NONE,O15M,2015,4
IIC,ESP,7E,LONGLINE,NONE,O15M,2015,1
IIC,FRA,7E,LONGLINE,NONE,O10T15M,2015,14
IIC,ENG,7E,LONGLINE,NONE,O10T15M,2015,6
IIC,SCO,7E,GILL,NONE,U10M,2015,1
IIC,FRA,7E,GILL,NONE,U10M,2015,8
IIC,ENG,7E,GILL,NONE,U10M,2015,74
IIC,FRA,7E,GILL,NONE,O15M,2015,5
IIC,ENG,7E,GILL,NONE,O15M,2015,1
IIC,FRA,7E,GILL,NONE,O10T15M,2015,24
IIC,ENG,7E,GILL,NONE,O10T15M,2015,7
IIC,SCO,7E,DREDGE,NONE,U10M,2015,1
IIC,NIR,7E,DREDGE,NONE,U10M,2015,2
IIC,FRA,7E,DREDGE,NONE,U10M,2015,84
IIC,ENG,7E,DREDGE,NONE,U10M,2015,21
IIC,SCO,7E,DREDGE,NONE,O15M,2015,13
