annex,country ,Measure Names,regulated area ,regulated gear ,vessel length ,year,Measure Values
WW,FRA,excluding deep effort,BSA,TRAMMEL,U10M,2015,414
WW,IRL,excluding deep effort,BSA,TRAMMEL,O15M,2015,17556
WW,FRA,excluding deep effort,BSA,TRAMMEL,O15M,2015,3335.65
WW,ENG,excluding deep effort,BSA,TRAMMEL,O15M,2015,37476.32
WW,IRL,excluding deep effort,BSA,TRAMMEL,O10T15M,2015,12105
WW,FRA,excluding deep effort,BSA,TRAMMEL,O10T15M,2015,352
WW,ENG,excluding deep effort,BSA,TRAMMEL,O10T15M,2015,12095.42
WW,NIR,excluding deep effort,BSA,POTS,U10M,2015,368
WW,FRA,excluding deep effort,BSA,POTS,U10M,2015,276
WW,IRL,excluding deep effort,BSA,POTS,O15M,2015,112
WW,IRL,excluding deep effort,BSA,POTS,O10T15M,2015,159597
WW,FRA,excluding deep effort,BSA,POTS,O10T15M,2015,154
WW,ENG,excluding deep effort,BSA,POTS,O10T15M,2015,174.37
WW,LTU,excluding deep effort,BSA,PELAGIC TRAWLS,O40M,2015,219420
WW,SCO,excluding deep effort,BSA,PELAGIC TRAWLS,O15M,2015,164815
WW,NLD,excluding deep effort,BSA,PELAGIC TRAWLS,O15M,2015,962948
WW,NIR,excluding deep effort,BSA,PELAGIC TRAWLS,O15M,2015,10125
WW,IRL,excluding deep effort,BSA,PELAGIC TRAWLS,O15M,2015,1039785
WW,FRA,excluding deep effort,BSA,PELAGIC TRAWLS,O15M,2015,111670.56
WW,ENG,excluding deep effort,BSA,PELAGIC TRAWLS,O15M,2015,354519.02
WW,DEU,excluding deep effort,BSA,PELAGIC TRAWLS,O15M,2015,357386
WW,IRL,excluding deep effort,BSA,PELAGIC TRAWLS,O10T15M,2015,11410
WW,IRL,excluding deep effort,BSA,NONE,O15M,2015,25258
WW,SCO,excluding deep effort,BSA,LONGLINE,O15M,2015,74596.26
WW,FRA,excluding deep effort,BSA,LONGLINE,O15M,2015,498156.18
WW,ENG,excluding deep effort,BSA,LONGLINE,O15M,2015,62091.92
WW,IRL,excluding deep effort,BSA,LONGLINE,O10T15M,2015,2843
WW,FRA,excluding deep effort,BSA,GILL,U10M,2015,1932
WW,SCO,excluding deep effort,BSA,GILL,O15M,2015,242.5
WW,IRL,excluding deep effort,BSA,GILL,O15M,2015,356676
WW,FRA,excluding deep effort,BSA,GILL,O15M,2015,683489.9
WW,ENG,excluding deep effort,BSA,GILL,O15M,2015,250330.85
WW,IRL,excluding deep effort,BSA,GILL,O10T15M,2015,127632
WW,ENG,excluding deep effort,BSA,GILL,O10T15M,2015,9144
WW,FRA,excluding deep effort,BSA,DREDGE,U10M,2015,975
WW,IRL,excluding deep effort,BSA,DREDGE,O15M,2015,42990
WW,ENG,excluding deep effort,BSA,DREDGE,O15M,2015,746
WW,NIR,excluding deep effort,BSA,DREDGE,O10T15M,2015,716
WW,IRL,excluding deep effort,BSA,DREDGE,O10T15M,2015,27152
WW,FRA,excluding deep effort,BSA,BOTTOM TRAWLS,U10M,2015,390
WW,LTU,excluding deep effort,BSA,BOTTOM TRAWLS,O24T40M,2015,174321
WW,SCO,excluding deep effort,BSA,BOTTOM TRAWLS,O15M,2015,166121.45
WW,NLD,excluding deep effort,BSA,BOTTOM TRAWLS,O15M,2015,1000
WW,NIR,excluding deep effort,BSA,BOTTOM TRAWLS,O15M,2015,56757.47
WW,IRL,excluding deep effort,BSA,BOTTOM TRAWLS,O15M,2015,4965632
WW,FRA,excluding deep effort,BSA,BOTTOM TRAWLS,O15M,2015,2873357.15
WW,ENG,excluding deep effort,BSA,BOTTOM TRAWLS,O15M,2015,943948.63
WW,IRL,excluding deep effort,BSA,BOTTOM TRAWLS,O10T15M,2015,418165
WW,FRA,excluding deep effort,BSA,BOTTOM TRAWLS,O10T15M,2015,344
WW,IRL,excluding deep effort,BSA,BEAM,O15M,2015,820409
WW,ENG,excluding deep effort,BSA,BEAM,O15M,2015,28891.03
WW,LTU,excluding deep effort,34.2.0 NON EU,PELAGIC TRAWLS,O40M,2015,138065
WW,LTU,excluding deep effort,34.2.0 EU,PELAGIC TRAWLS,O40M,2015,59139
WW,PRT,excluding deep effort,34.2.0 EU,LONGLINE,O15M,2015,5424
WW,ESP,excluding deep effort,34.1.2 EU,TRAMMEL,U10M,2015,9.56
WW,ESP,excluding deep effort,34.1.2 EU,TRAMMEL,O10T15M,2015,1562.61
WW,ESP,excluding deep effort,34.1.2 EU,TRAMMEL,NONE,2015,91.88
WW,ESP,excluding deep effort,34.1.2 EU,POTS,U10M,2015,39.69
WW,ESP,excluding deep effort,34.1.2 EU,POTS,O10T15M,2015,84150.83
WW,ESP,excluding deep effort,34.1.2 EU,POTS,NONE,2015,2679.81
WW,ESP,excluding deep effort,34.1.2 EU,PELAGIC TRAWLS,O15M,2015,32467.89
WW,ESP,excluding deep effort,34.1.2 EU,PELAGIC TRAWLS,O10T15M,2015,227734.95
WW,ESP,excluding deep effort,34.1.2 EU,PELAGIC TRAWLS,NONE,2015,42782.88
WW,PRT,excluding deep effort,34.1.2 EU,LONGLINE,U10M,2015,29974.78
WW,ESP,excluding deep effort,34.1.2 EU,LONGLINE,U10M,2015,35.28
WW,PRT,excluding deep effort,34.1.2 EU,LONGLINE,O15M,2015,137086.4
WW,ESP,excluding deep effort,34.1.2 EU,LONGLINE,O15M,2015,92980.44
WW,PRT,excluding deep effort,34.1.2 EU,LONGLINE,O10T15M,2015,603274.89
WW,ESP,excluding deep effort,34.1.2 EU,LONGLINE,O10T15M,2015,4390.89
WW,ESP,excluding deep effort,34.1.2 EU,LONGLINE,NONE,2015,4296.81
WW,ESP,excluding deep effort,34.1.2 EU,GILL,U10M,2015,80.86
WW,ESP,excluding deep effort,34.1.2 EU,GILL,O10T15M,2015,2951.05
WW,ESP,excluding deep effort,34.1.2 EU,GILL,NONE,2015,123.48
WW,LTU,excluding deep effort,34.1.1 NON EU,PELAGIC TRAWLS,O40M,2015,43178
WW,FRA,excluding deep effort,10 NON EU,TRAMMEL,O15M,2015,235.5
WW,FRA,excluding deep effort,10 NON EU,TRAMMEL,O10T15M,2015,40.25
WW,IRL,excluding deep effort,10 NON EU,PELAGIC TRAWLS,O15M,2015,32857
WW,FRA,excluding deep effort,10 NON EU,PELAGIC TRAWLS,O15M,2015,3774.14
WW,ESP,excluding deep effort,10 NON EU,PELAGIC TRAWLS,O15M,2015,10360.93
WW,FRA,excluding deep effort,10 NON EU,LONGLINE,U10M,2015,460.59
WW,SCO,excluding deep effort,10 NON EU,LONGLINE,O15M,2015,4594.96
